,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Alabama,65.64343473238353,61.2777618364419,50.86890914806665,53.375,46.29931972789116,43.773282764433205,53.32775919732441,56.336286749899315,52.83152377386747,40.42122830440587,43.77919754663941,38.457541191381495,38.393796526054594,44.306163021868784,41.11551759202766,42.98526625973479,40.71101916376307,39.60152636447734,44.04497786063855,56.58700022336386,56.55368507493328,48.12654690618763,47.39879319802523,47.23643276875216,46.9489038494735,48.33866031961918,50.47427101200686,53.06892857142857,46.958497613612785,41.4498678055725,48.87098668754894,45.809826344769164,43.267351037714796,37.89733919966478,39.93664675767918,40.804679945851866,41.17531948881789,39.41272587466359,31.26145038167939
Alaska,45.640611724723875,44.11322549952426,45.405693950177934,53.12228260869565,54.24225865209472,52.89937888198758,44.34086629001883,33.74179236912156,31.96130346232179,28.67484662576687,31.455179282868524,35.46969696969697,40.063529411764705,37.50414691943128,30.994659546061417,31.35585909417685,31.555384615384614,31.423558897243108,32.161764705882355,30.646048109965637,30.661184210526315,31.98181818181818,28.339259259259258,25.80628272251309,26.403361344537814,24.369781312127238,27.585012594458437,26.249685534591194,25.297251822770612,30.710402509147936,29.809251311397233,30.862021857923498,30.951452282157675,30.40193491644679,34.912448700410394,35.473838630806846,33.742613920881325,33.12006403415155,38.666666666666664
Arizona,95.08472686733556,96.81700331624963,73.25494901019796,70.97020910913778,77.00230946882218,79.99125262421273,75.16033755274262,56.08102253032929,55.45820063694268,56.926093514328805,52.73373408769449,49.41910192444761,47.83740883740884,49.85080469769465,50.779928680590935,49.17502160760588,51.63040841083704,51.28135343876425,56.05069124423963,60.23850377487989,55.952263952263955,54.61114911080711,58.22389592605272,56.00808249721293,53.02058414464534,54.0703722590515,64.92640905734679,61.64502694757472,59.47527472527472,52.31267806267806,51.88924757884281,56.617562380038386,55.28777142857143,51.13182423435419,52.1491926803014,47.59421841541756,48.779399323181046,50.95565977403539,41.26001705029838
Arkansas,41.81818181818182,36.0395256916996,25.95020746887967,26.542986425339368,28.679029957203994,31.851197982345525,31.641148325358852,35.47976878612717,36.75566150178784,30.90880503144654,31.55377996312231,34.37258130918073,30.416636658264313,34.776045627376426,34.17407975460123,37.78796012269939,34.559213015512675,34.40414110429448,39.22189781021898,46.11940298507463,49.3422117329737,45.62336477030727,43.85843023255814,43.04912280701755,40.99139927224611,49.169920462762114,45.43534190927556,44.734345939243646,40.6983880967142,38.401425914445134,42.85668417980152,41.94385679414158,42.1443986036179,38.233502538071065,36.12283044058745,35.20893516963386,35.391793514228986,39.478980470043034,35.718270571827055
California,68.64290930334452,65.09468114731273,61.87394106147274,61.742194604425585,66.6127562642369,66.43438513712769,67.22419378589309,67.29068743650525,67.92488608952024,64.63544649830773,61.66555377207062,62.03905421423669,60.52353896103896,57.20909704261779,61.15229308005427,59.51857492521077,61.28269241502484,54.50654349499615,57.562876526458616,63.67936024371668,61.831636774923254,63.767518990050284,65.66473738302591,64.03437193594074,60.10556756756757,56.33222337463835,59.985189605598656,58.129284164859,60.55011629793909,56.2646787747357,54.09474307874609,58.223466380926865,57.13448805551141,55.928693698512895,56.233763440860216,55.92085014796879,55.07653437203916,57.5311075781664,39.659222867351495
Canada,,,,,,,,,,,,,,,,33.472,38.93464052287582,35.644578313253014,37.90425531914894,35.409574468085104,32.13100436681223,34.76833976833977,20.622526636225267,20.661748013620887,26.608247422680414,23.046653144016226,30.0,,,,,,,,,,,,
Colorado,49.800237459186704,51.90758783584293,50.426010244735345,54.25461584276355,50.184624017957354,45.78583080866931,49.586961049781294,51.530944625407166,42.30239303843365,40.088225538971805,35.92039018250472,39.39321926489227,38.563983786913724,38.178561587214105,38.48799454297408,35.89664252797893,37.649419218585,35.73924221921516,38.274378207658906,36.135742444152434,36.98483263598327,35.372672402722486,37.796103896103894,37.05650224215247,34.30664439018121,36.83226386036961,38.641022428267135,43.0222194942303,41.05124582584126,39.34929810074319,42.35765427889533,45.88172750191823,47.21185692205785,45.74928806133625,42.4527407080622,41.392412105028924,41.26919739696312,43.0197807166271,37.48643678160919
Connecticut,89.88881829733164,76.45526960784314,79.17084826762246,84.05326460481099,71.52879868348876,67.94299413958444,62.166844919786094,63.11182450508293,67.7502569373073,59.50302724520686,55.06932668329177,55.96864111498258,45.7708245243129,48.94761499148211,51.46144013634427,46.59897828863346,41.674206176598524,46.18312309699869,46.393051485977395,54.42005676442763,49.18471035137702,57.33864965443913,60.32051948051948,53.94217862674238,49.05897568546301,53.503510531594785,49.6337890625,51.732400932400935,47.23405231757687,40.780834479596514,44.3406694176983,43.25443786982248,47.99682287529786,48.16150793650794,44.81336496638988,45.511609602518696,44.31000395413207,41.29352462194649,32.79661016949152
Country Of Mexico,,,,,,,,,,,57.333333333333336,54.81163434903047,52.91158536585366,51.25070422535211,62.91005291005291,59.15128205128205,64.4548919949174,84.78484438430311,89.27678571428571,96.39633286318758,88.93820933165196,88.45365168539325,81.26422250316055,83.72948717948718,77.21717171717172,76.39393939393939,80.67860508953817,82.87089467723669,71.62673392181588,62.67130214917825,59.21338383838384,57.81655172413793,49.77732240437158,43.60385144429161,38.657794676806084,80.875,73.4963768115942,61.708771929824564,62.165829145728644
Delaware,53.594648166501486,35.90580503833516,47.9370709382151,75.30490196078432,67.8613953488372,72.125,64.46378269617706,69.44498539435249,75.5625,67.65509989484752,63.42635658914729,60.63673057517659,51.594088669950736,65.95083798882682,63.436323366555925,63.09263392857143,59.820338983050846,63.36482084690554,67.55353075170842,69.26506024096386,62.03395399780942,67.49945593035909,68.51416122004358,61.95929592959296,58.25560538116592,63.91713325867861,60.30100334448161,58.18018018018018,56.274049217002236,47.31977401129944,53.69467213114754,48.41735159817352,49.73836126629423,44.87764489420423,47.20566727605119,46.3662100456621,44.99908759124087,43.83409715857012,39.337037037037035
District Of Columbia,79.22677595628416,76.81917808219178,72.59726027397261,75.94794520547946,70.9888888888889,73.2122905027933,72.78296703296704,72.28219178082192,57.5693215339233,58.11965811965812,63.989041095890414,67.58082191780822,59.03551912568306,68.01095890410959,68.07142857142857,64.98901098901099,58.78688524590164,60.35616438356164,63.704109589041096,71.18904109589042,64.84972677595628,68.81095890410958,69.52602739726028,61.33972602739726,59.5655737704918,62.175342465753424,61.62465753424657,60.8986301369863,55.166666666666664,51.057534246575344,58.605479452054794,58.74520547945205,60.17486338797814,50.0027397260274,48.78630136986301,49.76438356164383,49.70765027322405,51.26849315068493,41.233333333333334
Florida,45.38755727881565,49.54760225669958,45.59517158818835,42.92522644054731,47.79668930390493,43.00239442751415,43.05513231756215,46.27981384525887,45.70604147880974,46.99106025388879,47.409114904099944,43.31806528798496,44.238742449203734,46.303961302131,43.036420919974795,42.82241192737766,41.02016041621504,41.04439275963191,45.14105136436597,46.27229676400947,48.42579052321717,44.04535322359396,41.45050771897961,41.869720059632265,44.337933384445016,44.764105993479895,46.2432298136646,44.67737672420913,42.12199630314233,39.55168210628961,42.310756972111555,41.24708745022858,38.209484181074686,36.93567555522543,37.924913941480206,36.07771281905033,38.10018672795174,38.43419913419913,43.985250737463126
Georgia,35.5136,47.82469512195122,47.83274021352313,37.966113660430636,52.8387358184765,50.223015873015875,60.523947750362844,49.72767746722731,47.677360219981665,40.76306856754922,48.97674987763094,39.218628125716904,37.26879053796261,43.740518534390404,38.37218433560653,40.381858488823205,42.329582341484524,44.1543866693435,46.84433577832111,60.25478395061728,54.441225698467875,47.196594427244584,47.939275982872715,44.299987603818025,47.77410501193317,50.46307588075881,52.591431095406364,54.44203397612488,50.04500937695353,44.10672546857773,48.42636333950147,49.18879492600423,44.888678251711426,39.97857142857143,42.10104011887073,39.0282569584083,41.16924754634678,39.2145292112378,32.64053075995175
Guam,,,,,,,,,,43.198113207547166,30.285714285714285,41.1219512195122,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hawaii,16.803324099722992,30.666666666666668,37.61917808219178,46.654794520547945,49.942622950819676,39.27513227513227,23.91346153846154,47.145994832041346,27.888583218707016,42.54590570719603,30.43465909090909,32.40755873340143,40.182948490230906,38.47826086956522,36.25575221238938,41.62636273538157,34.91933916423712,30.342490842490843,28.032374100719423,27.33892321270962,31.604129263913823,34.840992647058826,36.861333333333334,41.15803336259877,35.12725631768953,32.15830115830116,30.3756201275691,43.10985915492958,73.64100185528757,76.14797794117646,80.27306616961789,58.34441087613293,63.29224376731302,56.026767330130404,51.4704205274412,55.04735758407687,54.666895604395606,53.247083047357584,85.28888888888889
Idaho,90.5885989010989,86.06544117647059,57.92203147353362,58.39050535987749,66.20188679245283,71.88350419384902,46.216153846153844,42.87101556708673,43.78393351800554,42.82934131736527,39.156123822341854,37.423312883435585,36.48151001540832,35.59986550100874,34.70975463794135,30.834269662921347,32.41502753737215,32.162328767123284,30.653061224489797,35.319189511323,35.247185628742514,38.60462427745665,36.7004191484668,32.98955446599872,33.771315834620005,31.773949205406208,31.775331935709293,31.410450326572704,29.362566844919787,28.336807928913192,29.841568313662734,28.855056387502312,30.716728191179328,32.08287013643254,30.112356478950247,32.20992622401073,29.186507936507937,36.15467625899281,21.295833333333334
Illinois,59.0141037929618,52.07579273008508,46.899612994019,54.40475370306579,54.354604105571845,53.082417582417584,52.44466090344576,54.548704803022126,60.135659402947475,52.277374909354606,46.863184377620705,50.16295148408631,46.686089759484254,44.6148218398591,49.850046610733784,49.39281620175774,46.6001268230818,45.57257765128078,47.11429997504367,49.606118063455945,45.761470152935374,46.96490396016125,48.07004716981132,43.04261297120112,39.595243646537654,46.18432104526365,40.69181436567164,46.94379039704525,41.02133115747756,39.80027819636027,42.338282456348736,39.36187813118956,42.45945635967428,36.70317441724259,36.22663222170033,35.83281050307889,35.40859118213759,36.686494656158914,36.164739884393065
Indiana,66.82013134968503,66.97477275048514,66.06814099685676,68.93336097004871,72.186889961985,71.37212643678161,66.20336693338875,65.71403812824957,66.99459831074445,61.12749752720079,60.62776484284051,58.410261431508864,53.36212024644147,53.42430278884462,54.449428021293464,49.73170208199184,45.96472083907194,45.78729055986923,51.36754611754612,52.83678756476684,48.800071530758224,50.15204977414131,52.83795744680851,48.173780745499116,44.42524945036361,49.882069381079454,43.75525394045534,50.38477837104839,44.41172167870531,40.43165801186944,44.41741415239648,42.73374833259226,43.071255411255414,37.9514432382395,38.54553415061296,36.10232703909739,35.664258107881025,36.72671360362548,34.846046673632884
Iowa,42.73930530164534,38.38186923385479,41.15734912995187,46.00399274047187,41.763533709730986,41.78432068109259,41.749845201238394,42.57262974775297,48.03640500568828,44.12957582800697,43.01888412017168,40.65407386523823,39.878769039477774,37.66366366366366,38.315384615384616,40.67113494191242,36.71787549971445,38.097259935818315,37.2949888916317,42.089187245264924,41.90405117270789,40.204972972972975,40.088016112789525,42.10609756097561,38.378790882061445,43.024072612470405,38.90825878926565,45.064672594987876,40.83604021655066,39.55172413793103,43.28692449355433,43.69424393855265,45.032660550458715,41.39235485034259,40.99496402877698,38.83160157649588,36.745759685770395,39.36702021212728,43.80484429065744
Kansas,49.5153488372093,62.895121951219515,52.05464480874317,50.82768924302789,45.32380952380952,45.87793427230047,44.294376098418276,47.33479020979021,46.40325670498084,41.3061863743148,35.09270072992701,39.823938761308284,37.13179916317991,34.60059391239792,37.503021148036254,41.41589119541875,34.75581996896017,34.88726723704077,44.47924773022049,46.420533070088844,45.64185110663984,43.4240676662822,40.86626676076217,43.7142035652674,35.729694092827,41.12172532415983,42.6294777139732,39.48416666666667,36.160737138469415,34.49230381024476,36.52620967741935,42.18975139523085,44.04962327877371,36.8797450817401,37.14673278879813,36.40526315789474,35.42881894311291,35.409513087531664,
Kentucky,66.8543350768743,58.37821538461539,58.54431762991744,65.3241937432057,58.70399597044997,55.67972094498177,54.32208220822082,62.05306543019062,64.51310730513806,53.49929027679205,52.688431511710434,50.768642447418735,44.3622758047274,48.29563405002194,50.86922642574817,49.87633189752891,46.38855903174241,46.03391027905334,54.3338318187047,60.66380272260656,51.42513368983957,50.932231235239755,51.80773653946681,47.80798722044729,44.00834581639204,51.833000222074176,46.43754427390791,55.038770053475936,45.97554984927989,40.25460636515913,46.7614995400184,44.51231305521196,46.69961633942677,38.765888528984696,39.872023473648575,39.626968617082426,40.54332048083466,39.387115165336375,32.177358490566036
Louisiana,39.36700829673011,48.820803927585146,42.98484406878461,41.66461599523715,41.83719058160596,47.47757847533632,47.79603277274688,54.80250347705146,51.889429455992925,42.60899479778487,46.21794254533783,39.36801632140615,40.48158955120189,43.16798150163221,42.604733405875955,48.218082990852444,42.89411764705882,46.00716519020323,45.837891399128026,52.18573667711599,53.248008959681435,46.46817348808796,42.47608005857945,46.72948104527052,44.87209870510628,51.48695430826015,51.17697694776773,47.70811818703385,45.079407616361074,43.459375,47.644645999729256,47.84770346494762,45.33342271081914,41.309815950920246,41.20710701207107,39.92155731795241,39.549647838696316,37.37602215774202,37.18724778046812
Maine,65.49681238615665,53.58247422680412,48.97572815533981,52.08762322015334,53.00558659217877,50.69495756365452,47.85033076074973,47.53606237816764,49.179771996492256,43.33774298056156,41.53586723768736,41.00538028857911,37.939707835325365,38.83064716092239,39.96535013326872,37.87553750597229,36.246373186593296,36.19689737470167,36.4096281349092,33.543357664233575,29.273499267935577,34.480669710806694,34.29556943205471,34.33268545513444,33.35614702154626,36.53272727272727,36.67283950617284,37.98428222144604,35.98145780051151,34.09238095238095,35.14212096555465,35.43991481594159,35.35419198055893,36.14764304773199,34.89453357100416,35.53672158614912,32.80005448106783,35.42567567567568,38.833955223880594
Maryland,64.2893600314095,58.50332594235033,58.006682867557714,62.45949142519219,52.51177513294505,59.5477167076839,59.1054114994363,60.32569750367107,65.25022448368752,52.0189205955335,52.59943661971831,61.53633004926108,45.67636464394569,55.072079536039766,51.33296337402886,51.32278835386338,47.504366812227076,51.82790567097136,60.6988567990373,61.15438695163105,54.23839955543207,60.9925393755181,64.6904332129964,53.48709280885065,53.414188990285545,55.59799525191242,54.980572328695196,57.89959016393443,52.48681592039801,45.156493047372145,53.36085766423358,50.460863845647886,51.03724989357173,43.81761945392491,44.25935613682093,45.373291063998415,43.97028144066129,42.02065373563219,36.44876886417792
Massachusetts,62.73776104073947,56.774647887323944,69.21616972477064,71.83402860548271,68.79273504273505,66.75175572519083,63.971068754254595,62.69348778960551,70.54864864864865,60.42298850574713,55.982768523836874,58.023965763195434,54.64104029722778,53.33754668198794,53.23112128146453,47.63651974813967,48.514608859566444,49.42147435897436,50.32023010546501,51.65990783410138,46.42410855159356,52.654434250764524,51.7864476386037,47.46620606788826,45.33287820862916,48.75747688961392,45.851592851592855,48.37444589308996,45.571391884951204,41.146659707724424,42.75146571501402,43.31867576446803,42.28157827312324,41.5854075158614,39.87845891868881,38.86413280908694,38.12396694214876,39.386170212765954,38.701298701298704
Michigan,46.61353293413173,45.971534982708164,42.65072269408434,42.271013103227865,41.11571611956721,39.81342062193126,40.53061966200254,42.0466842626196,43.327060931899645,43.65034836817015,41.41927527983305,49.06793393580555,36.08500870666455,37.970301484925756,42.857571714476315,43.540977901513834,43.58233481684355,42.523034699078615,50.2455627072362,52.02995234853642,42.85417956656347,48.34918254087296,48.885943190094686,46.452391464311994,42.9835215135795,51.39839282954721,44.17245222929936,49.33343989769821,44.900296638101516,41.81749180610661,43.10870301388419,42.188363524715996,47.37484329293773,38.688056079805875,40.25822368421053,39.269354043392504,38.39106901217862,38.00568841420942,24.896296296296295
Minnesota,47.705178309721546,44.664599940950694,44.51989389920424,48.551787016776075,42.758418740849194,40.67442497261774,37.857179619145654,40.558736954776556,43.38992332968237,38.646068660022145,32.68071203244705,34.8828125,31.83233082706767,32.6758304696449,30.887820512820515,30.96059687572861,28.220380739081747,25.863196683555966,29.134023285899094,29.69697739395479,31.517679282868524,31.563106796116504,33.46114388304694,41.15937101572461,38.45623501199041,41.4496776504298,37.21682794817123,38.642822697315545,37.29738033635188,36.465446148771235,36.1303429221518,36.02588466579292,36.34294409738908,35.99068018312622,34.3685731670216,33.91314800901578,30.515946348733234,33.7428400954654,31.618393960192176
Mississippi,35.997091332169866,32.34970414201184,28.147058823529413,31.278622898318655,38.013782542113326,38.41481481481482,42.993640699523056,46.772324471710974,49.28630441690499,39.39610175090849,48.13913851874806,37.36258523569523,37.78363636363636,39.16377497371188,40.166261808367075,45.424993193574736,41.43762662807525,45.12182890855457,47.05132291998725,56.29297820823245,56.99684924866699,49.12954186413902,45.57254623044097,48.99975454099165,47.42633015006821,54.204274891774894,53.4025056215869,50.942067736185386,46.96783980582524,42.623453152622275,46.23134543359262,45.16157894736842,42.761572052401746,38.35490070467649,39.39596879063719,37.28334357713583,37.66792097836312,36.435210834102804,27.442307692307693
